code,network,name,latitude,longitude,elevation,created_at
HINSI,IA,Hibala,-0.540,98.499,,2025-02-06 11:35:03
IATSM,IA,Idi,4.9241,97.7845,,2025-02-06 11:35:03
IBTI,IA,IleBoleng,-8.3857,123.2584,,2025-02-06 11:35:03
IGBI,IA,Ingas,-8.8181,115.1456,,2025-02-06 11:35:03
IHMI,IA,Ibu,1.5082,127.5555,,2025-02-06 11:35:03
IHRSI,IA,IndragiriHilir,-0.9652,102.764519,,2025-02-06 11:35:03
IWPI,IA,Rasiei,-2.7579,134.5163,,2025-02-06 11:35:03
JAASI,IA,Jeumpa,3.766,96.820,,2025-02-06 11:35:03
JAGI,IA,Jajag,-8.4703,114.152,,2025-02-06 11:35:03
JASI,IA,Sangir-BalaiJanggo,-1.41453,101.45838,,2025-02-06 11:35:03
JAY,IA,Jayapura,-2.5145,140.7043,,2025-02-06 11:35:03
JBJI,IA,Jasinga,-6.483735,106.4698517,,2025-02-06 11:35:03
JBJM,IA,Jepon,-6.9729,111.4587,,2025-02-06 11:35:03
JCJI,IA,Jatiwangi,-6.7344,108.2631,,2025-02-06 11:35:03
JHMI,IA,Jailolo,1.0756,127.478,,2025-02-06 11:35:03
JMSI,IA,Jangkat,-2.63715,101.88745,,2025-02-06 11:35:03
JPJI,IA,Jatiluhur,-6.5306583,107.41757,,2025-02-06 11:35:03
JPSI,IA,Jurai,-1.34164,100.58645,,2025-02-06 11:35:03
JSBFM,IA,Jereweh,-8.8717,116.8164,,2025-02-06 11:35:03
JTJM,IA,Jampang-Tengah,-7.0573,106.8015,,2025-02-06 11:35:03
JWJM,IA,Juwangi,-7.2062,110.7527,,2025-02-06 11:35:03
KABKI,IA,Bongan,-0.750684,116.241898,,2025-02-06 11:35:03
KAKKI,IA,Karangan,1.366887,117.750031,,2025-02-06 11:35:03
KARPI,IA,Kabare,-0.061,130.991,,2025-02-06 11:35:03
KASAI,IA,Kota-Baharu,2.491893,97.858239,,2025-02-06 11:35:03
KBBI,IA,Kintamani,-8.286,115.2547,,2025-02-06 11:35:03
KBJM,IA,Kunduran,-7.0505,111.2329,,2025-02-06 11:35:03
KBKI,IA,Kotabaru,-3.2995,116.1668,,2025-02-06 11:35:03
KBSSI,IA,Kodi Bangedo,-9.593,118.993,,2025-02-06 11:35:03
KDI,IA,Kendari,-3.9574,122.6193,,2025-02-06 11:35:03
KGCM,IA,Kwandang,0.5485,123.0099,,2025-02-06 11:35:03
KHK,IA,Kahang-Kahang,-8.364,115.6096,,2025-02-06 11:35:03
KHSSI,IA,KatalaHamuLingu,-9.801,119.945,,2025-02-06 11:35:03
KIMPI,IA,Kimaam,-7.979,138.852,,2025-02-06 11:35:03
KJCM,IA,Kelara,-5.5664,119.8025,,2025-02-06 11:35:03
KKJM,IA,Kokap,-7.843384,110.057248,,2025-02-06 11:35:03
KKKI,IA,Kendawangan,-2.515,110.1956,,2025-02-06 11:35:03
KKKKI,IA,Katingan-Kuala,-1.871143,113.419801,,2025-02-06 11:35:03
KKMI,IA,Kei-Kecil,-5.693,132.7179,,2025-02-06 11:35:03
KKSI,IA,Kolaka,-4.1717,121.6513,,2025-02-06 11:35:03
KKTKI,IA,Kombeng,1.186094,116.949317,,2025-02-06 11:35:03
